openmp threads = 1
openmp threads = 6
eigen threads = 1
seed = 30041
exact = 1.269353633414169e+00
n = 280, r = 0.485794, dH = 0.721971, is_accept = 0
n = 281, r = 0.72242, dH = 0.325149, is_accept = 1
n = 282, r = 0.591365, dH = 0.525321, is_accept = 0
n = 283, r = 0.529644, dH = 0.63555, is_accept = 0
n = 284, r = 1, dH = -0.234042, is_accept = 1
n = 285, r = 0.579131, dH = 0.546227, is_accept = 1
n = 286, r = 0.893647, dH = 0.112444, is_accept = 1
n = 287, r = 0.913826, dH = 0.0901154, is_accept = 1
n = 288, r = 1, dH = -0.00685077, is_accept = 1
n = 289, r = 1, dH = -0.518386, is_accept = 1
n = 290, r = 0.604531, dH = 0.503302, is_accept = 1
n = 291, r = 1, dH = -0.355804, is_accept = 1
n = 292, r = 0.813672, dH = 0.206197, is_accept = 1
n = 293, r = 0.830119, dH = 0.186187, is_accept = 1
n = 294, r = 0.750494, dH = 0.287023, is_accept = 0
n = 295, r = 1, dH = -0.0592916, is_accept = 1
n = 296, r = 1, dH = -0.486965, is_accept = 1
n = 297, r = 1, dH = -0.561561, is_accept = 1
n = 298, r = 0.818916, dH = 0.199773, is_accept = 1
n = 299, r = 0.67927, dH = 0.386737, is_accept = 1
n = 300, r = 1, dH = -0.57131, is_accept = 1
n = 301, r = 1, dH = -0.175198, is_accept = 1
n = 302, r = 1, dH = -0.21746, is_accept = 1
n = 303, r = 0.760597, dH = 0.273652, is_accept = 0
n = 304, r = 0.977934, dH = 0.0223135, is_accept = 1
n = 305, r = 0.671381, dH = 0.398418, is_accept = 1
n = 306, r = 1, dH = -0.721351, is_accept = 1
n = 307, r = 0.695225, dH = 0.36352, is_accept = 1
n = 308, r = 1, dH = -0.237576, is_accept = 1
n = 309, r = 0.750242, dH = 0.28736, is_accept = 1
n = 310, r = 0.518371, dH = 0.657065, is_accept = 1
n = 311, r = 1, dH = -0.553464, is_accept = 1
n = 312, r = 0.912418, dH = 0.0916566, is_accept = 1
n = 313, r = 1, dH = -0.458047, is_accept = 1
n = 314, r = 0.985653, dH = 0.0144505, is_accept = 1
n = 315, r = 0.956933, dH = 0.0440222, is_accept = 1
n = 316, r = 0.99904, dH = 0.000960769, is_accept = 1
n = 317, r = 1, dH = -0.517267, is_accept = 1
n = 318, r = 0.358024, dH = 1.02715, is_accept = 0
n = 319, r = 0.839206, dH = 0.175299, is_accept = 0
n = 320, r = 0.414836, dH = 0.879872, is_accept = 1
n = 321, r = 0.532837, dH = 0.629539, is_accept = 1
n = 322, r = 1, dH = -0.306708, is_accept = 1
n = 323, r = 1, dH = -0.446429, is_accept = 1
n = 324, r = 1, dH = -0.0309219, is_accept = 1
n = 325, r = 1, dH = -0.102282, is_accept = 1
n = 326, r = 1, dH = -0.908785, is_accept = 1
n = 327, r = 1, dH = -0.0366148, is_accept = 1
n = 328, r = 0.566827, dH = 0.567701, is_accept = 1
n = 329, r = 1, dH = -0.264181, is_accept = 1
n = 330, r = 0.650594, dH = 0.42987, is_accept = 0
n = 331, r = 1, dH = -0.246587, is_accept = 1
n = 332, r = 0.464088, dH = 0.767681, is_accept = 0
n = 333, r = 0.376804, dH = 0.976031, is_accept = 0
