openmp threads = 1
openmp threads = 6
eigen threads = 1
seed = 29046
exact = 7.987447601192592e-01
n = 311, r = 0.960071, dH = 0.0407478, is_accept = 0
n = 312, r = 0.491888, dH = 0.709505, is_accept = 0
n = 313, r = 1, dH = -0.0459206, is_accept = 1
n = 314, r = 1, dH = -0.51194, is_accept = 1
n = 315, r = 0.37426, dH = 0.982806, is_accept = 1
n = 316, r = 1, dH = -0.306346, is_accept = 1
n = 317, r = 1, dH = -0.259868, is_accept = 1
n = 318, r = 0.870044, dH = 0.139212, is_accept = 1
n = 319, r = 1, dH = -0.940687, is_accept = 1
n = 320, r = 0.466543, dH = 0.762404, is_accept = 1
n = 321, r = 1, dH = -0.569204, is_accept = 1
n = 322, r = 0.853288, dH = 0.158658, is_accept = 1
n = 323, r = 0.439652, dH = 0.821772, is_accept = 1
n = 324, r = 1, dH = -0.230469, is_accept = 1
n = 325, r = 0.885721, dH = 0.121353, is_accept = 1
n = 326, r = 0.788569, dH = 0.237535, is_accept = 1
n = 327, r = 0.755854, dH = 0.279907, is_accept = 1
n = 328, r = 1, dH = -0.582786, is_accept = 1
n = 329, r = 0.764673, dH = 0.268306, is_accept = 1
n = 330, r = 1, dH = -0.422365, is_accept = 1
n = 331, r = 0.77741, dH = 0.251788, is_accept = 1
n = 332, r = 0.967125, dH = 0.0334278, is_accept = 1
n = 333, r = 0.782709, dH = 0.244995, is_accept = 1
n = 334, r = 1, dH = -0.402684, is_accept = 1
n = 335, r = 0.633263, dH = 0.456869, is_accept = 1
n = 336, r = 1, dH = -0.355492, is_accept = 1
n = 337, r = 0.817889, dH = 0.201028, is_accept = 1
n = 338, r = 1, dH = -0.307902, is_accept = 1
n = 339, r = 0.695965, dH = 0.362456, is_accept = 1
n = 340, r = 0.568011, dH = 0.565614, is_accept = 0
n = 341, r = 0.561382, dH = 0.577353, is_accept = 0
n = 342, r = 0.46907, dH = 0.757003, is_accept = 0
n = 343, r = 0.792162, dH = 0.232989, is_accept = 1
n = 344, r = 0.914199, dH = 0.0897066, is_accept = 1
n = 345, r = 0.769206, dH = 0.262397, is_accept = 1
n = 346, r = 1, dH = -0.271051, is_accept = 1
n = 347, r = 1, dH = -0.717845, is_accept = 1
n = 348, r = 0.693543, dH = 0.365942, is_accept = 1
n = 349, r = 1, dH = -0.57784, is_accept = 1
n = 350, r = 0.875061, dH = 0.133462, is_accept = 1
n = 351, r = 1, dH = -0.0855018, is_accept = 1
n = 352, r = 0.398387, dH = 0.920331, is_accept = 1
n = 353, r = 1, dH = -0.196115, is_accept = 1
n = 354, r = 0.61985, dH = 0.478278, is_accept = 0
n = 355, r = 1, dH = -0.117872, is_accept = 1
n = 356, r = 1, dH = -0.674906, is_accept = 1
n = 357, r = 1, dH = -0.0432641, is_accept = 1
n = 358, r = 1, dH = -0.315618, is_accept = 1
n = 359, r = 0.767083, dH = 0.26516, is_accept = 1
n = 360, r = 0.569609, dH = 0.562805, is_accept = 1
n = 361, r = 0.607675, dH = 0.498116, is_accept = 1
n = 362, r = 0.871907, dH = 0.137073, is_accept = 1
n = 363, r = 0.905331, dH = 0.0994546, is_accept = 1
n = 364, r = 1, dH = -0.532002, is_accept = 1
n = 365, r = 0.462868, dH = 0.770313, is_accept = 0
