openmp threads = 1
eigen threads = 1
seed = 8989
exact = 5.879092030739460e-01
n = 326, r = 0.85907, dH = 0.151904, is_accept = 0
n = 327, r = 0.643764, dH = 0.440422, is_accept = 1
n = 328, r = 0.832199, dH = 0.183683, is_accept = 1
n = 329, r = 0.913819, dH = 0.0901228, is_accept = 1
n = 330, r = 0.622793, dH = 0.473541, is_accept = 1
n = 331, r = 1, dH = -0.236273, is_accept = 1
n = 332, r = 1, dH = -0.0408132, is_accept = 1
n = 333, r = 1, dH = -0.230304, is_accept = 1
n = 334, r = 0.78381, dH = 0.243588, is_accept = 1
n = 335, r = 1, dH = -0.0752376, is_accept = 1
n = 336, r = 0.875667, dH = 0.132769, is_accept = 1
n = 337, r = 1, dH = -0.0224977, is_accept = 1
n = 338, r = 0.86457, dH = 0.145523, is_accept = 1
n = 339, r = 0.895604, dH = 0.110256, is_accept = 0
n = 340, r = 0.795426, dH = 0.228877, is_accept = 1
n = 341, r = 0.0906364, dH = 2.4009, is_accept = 0
n = 342, r = 0.663196, dH = 0.410685, is_accept = 0
n = 343, r = 0.8274, dH = 0.189467, is_accept = 1
n = 344, r = 0.800433, dH = 0.222602, is_accept = 1
n = 345, r = 1, dH = -0.447567, is_accept = 1
n = 346, r = 0.00488298, dH = 5.322, is_accept = 0
n = 347, r = 0.895936, dH = 0.109886, is_accept = 1
n = 348, r = 1, dH = -0.223726, is_accept = 1
n = 349, r = 0.772778, dH = 0.257764, is_accept = 1
n = 350, r = 1, dH = -0.0629463, is_accept = 1
n = 351, r = 0.790736, dH = 0.234791, is_accept = 1
n = 352, r = 0.543375, dH = 0.609955, is_accept = 0
n = 353, r = 0.903275, dH = 0.101728, is_accept = 0
n = 354, r = 1, dH = -0.0574826, is_accept = 1
n = 355, r = 0.67833, dH = 0.388122, is_accept = 1
n = 356, r = 0.806346, dH = 0.215242, is_accept = 1
n = 357, r = 1, dH = -0.0711712, is_accept = 1
n = 358, r = 0.619871, dH = 0.478244, is_accept = 0
n = 359, r = 1, dH = -0.586685, is_accept = 1
n = 360, r = 0.832755, dH = 0.183016, is_accept = 1
n = 361, r = 1, dH = -0.0142412, is_accept = 1
n = 362, r = 6.99979e-06, dH = 11.8696, is_accept = 0
n = 363, r = 5.50196e-09, dH = 19.0182, is_accept = 0
n = 364, r = 1, dH = -0.0445376, is_accept = 1
n = 365, r = 0.198425, dH = 1.61734, is_accept = 0
n = 366, r = 1, dH = -1.20929, is_accept = 1
n = 367, r = 1, dH = -0.177141, is_accept = 1
n = 368, r = 0.742327, dH = 0.297965, is_accept = 0
n = 369, r = 1, dH = -0.141786, is_accept = 1
n = 370, r = 1, dH = -0.186655, is_accept = 1
n = 371, r = 1, dH = -3.48373, is_accept = 1
n = 372, r = 0.903874, dH = 0.101065, is_accept = 1
n = 373, r = 1, dH = -0.194495, is_accept = 1
n = 374, r = 0.00398489, dH = 5.52525, is_accept = 0
n = 375, r = 1, dH = -0.141882, is_accept = 1
n = 376, r = 0.733705, dH = 0.309649, is_accept = 1
n = 377, r = 0.924061, dH = 0.078977, is_accept = 1
n = 378, r = 0.596977, dH = 0.515877, is_accept = 1
n = 379, r = 1, dH = -0.707813, is_accept = 1
n = 380, r = 0.769568, dH = 0.261926, is_accept = 1
n = 381, r = 1, dH = -0.13022, is_accept = 1
n = 382, r = 0.775013, dH = 0.254876, is_accept = 1
n = 383, r = 0.893127, dH = 0.113027, is_accept = 1
n = 384, r = 1, dH = -0.525582, is_accept = 1
n = 385, r = 0.415333, dH = 0.878674, is_accept = 0
n = 386, r = 0.105923, dH = 2.24504, is_accept = 1
n = 387, r = 0.950404, dH = 0.0508678, is_accept = 1
n = 388, r = 0.0821791, dH = 2.49885, is_accept = 0
n = 389, r = 0.159786, dH = 1.83392, is_accept = 0
n = 390, r = 0.964414, dH = 0.036235, is_accept = 1
n = 391, r = 0.943303, dH = 0.0583681, is_accept = 1
n = 392, r = 1, dH = -0.0303857, is_accept = 1
n = 393, r = 1, dH = -0.0724473, is_accept = 1
n = 394, r = 0.968708, dH = 0.0317917, is_accept = 1
n = 395, r = 1, dH = -0.0285165, is_accept = 1
n = 396, r = 0.864851, dH = 0.145198, is_accept = 1
n = 397, r = 0.792689, dH = 0.232324, is_accept = 1
n = 398, r = 0.888227, dH = 0.118528, is_accept = 1
n = 399, r = 0.938785, dH = 0.0631683, is_accept = 1
n = 400, r = 0.419612, dH = 0.868424, is_accept = 0
n = 401, r = 0.194494, dH = 1.63736, is_accept = 0
n = 402, r = 0.00193536, dH = 6.24746, is_accept = 0
n = 403, r = 0.849989, dH = 0.162532, is_accept = 1
n = 404, r = 0.66017, dH = 0.415258, is_accept = 0
n = 405, r = 1, dH = -0.195877, is_accept = 1
n = 406, r = 0.731168, dH = 0.313112, is_accept = 1
n = 407, r = 0.45378, dH = 0.790142, is_accept = 1
n = 408, r = 4.47338e-06, dH = 12.3174, is_accept = 0
n = 409, r = 1, dH = -0.240266, is_accept = 1
n = 410, r = 1, dH = -0.0545086, is_accept = 1
n = 411, r = 0.923493, dH = 0.0795919, is_accept = 1
n = 412, r = 0.78669, dH = 0.239921, is_accept = 1
n = 413, r = 1, dH = -0.00317257, is_accept = 1
n = 414, r = 1, dH = -0.229181, is_accept = 1
n = 415, r = 0.995217, dH = 0.00479433, is_accept = 1
n = 416, r = 0.995168, dH = 0.00484345, is_accept = 1
n = 417, r = 1, dH = -0.176398, is_accept = 1
n = 418, r = 1, dH = -2.98236, is_accept = 1
