openmp threads = 1
eigen threads = 1
seed = 2574
exact = 6.882880141375221e-01
n = 396, r = 0.962568, dH = 0.0381501, is_accept = 1
n = 397, r = 0.791521, dH = 0.233798, is_accept = 1
n = 398, r = 1, dH = -0.3629, is_accept = 1
n = 399, r = 1, dH = -0.175359, is_accept = 1
n = 400, r = 0.761468, dH = 0.272508, is_accept = 1
n = 401, r = 0.919322, dH = 0.084119, is_accept = 1
n = 402, r = 0.215406, dH = 1.53523, is_accept = 0
n = 403, r = 0.863276, dH = 0.14702, is_accept = 1
n = 404, r = 0.855616, dH = 0.155934, is_accept = 1
n = 405, r = 0.0609686, dH = 2.7974, is_accept = 0
n = 406, r = 0.94503, dH = 0.0565381, is_accept = 1
n = 407, r = 0.0233405, dH = 3.75757, is_accept = 0
n = 408, r = 1, dH = -0.292324, is_accept = 1
n = 409, r = 0.325849, dH = 1.12132, is_accept = 0
n = 410, r = 0.697589, dH = 0.360126, is_accept = 1
n = 411, r = 0.255448, dH = 1.36474, is_accept = 0
n = 412, r = 1, dH = -0.122655, is_accept = 1
n = 413, r = 0.877267, dH = 0.130944, is_accept = 0
n = 414, r = 0.701043, dH = 0.355186, is_accept = 1
n = 415, r = 0.975482, dH = 0.0248237, is_accept = 1
n = 416, r = 1, dH = -0.187527, is_accept = 1
n = 417, r = 1, dH = -0.292372, is_accept = 1
n = 418, r = 1, dH = -0.210132, is_accept = 1
n = 419, r = 1.52317e-20, dH = 45.6309, is_accept = 0
n = 420, r = 0.530058, dH = 0.634768, is_accept = 0
n = 421, r = 1, dH = -0.10063, is_accept = 1
n = 422, r = 1, dH = -0.851098, is_accept = 1
n = 423, r = 0.655808, dH = 0.421887, is_accept = 1
n = 424, r = 0.735912, dH = 0.306645, is_accept = 1
n = 425, r = 1, dH = -0.297356, is_accept = 1
n = 426, r = 0.94442, dH = 0.0571842, is_accept = 1
n = 427, r = 1, dH = -0.04658, is_accept = 1
n = 428, r = 1, dH = -0.331375, is_accept = 1
n = 429, r = 0.778113, dH = 0.250883, is_accept = 1
n = 430, r = 0.938981, dH = 0.0629603, is_accept = 1
n = 431, r = 1, dH = -0.0923462, is_accept = 1
n = 432, r = 0.928557, dH = 0.0741233, is_accept = 1
n = 433, r = 0.928439, dH = 0.0742503, is_accept = 1
n = 434, r = 1, dH = -0.195647, is_accept = 1
n = 435, r = 0.13367, dH = 2.01238, is_accept = 0
n = 436, r = 0.844892, dH = 0.168546, is_accept = 1
n = 437, r = 5.48505e-11, dH = 23.6264, is_accept = 0
n = 438, r = 1, dH = -0.0500866, is_accept = 1
n = 439, r = 0.440246, dH = 0.820421, is_accept = 0
n = 440, r = 1, dH = -0.119157, is_accept = 1
n = 441, r = 0.709112, dH = 0.343741, is_accept = 1
n = 442, r = 1, dH = -0.265329, is_accept = 1
n = 443, r = 1, dH = -0.28959, is_accept = 1
n = 444, r = 0.991284, dH = 0.00875437, is_accept = 1
n = 445, r = 1, dH = -0.16193, is_accept = 1
n = 446, r = 0.93186, dH = 0.0705724, is_accept = 1
