openmp threads = 1
eigen threads = 1
seed = 27141
exact = 1.027668950414026e+00
n = 293, r = 1, dH = -0.0628918, is_accept = 1
n = 294, r = 0.949333, dH = 0.0519953, is_accept = 1
n = 295, r = 1, dH = -0.478868, is_accept = 1
n = 296, r = 1, dH = -0.103534, is_accept = 1
n = 297, r = 0.797743, dH = 0.225968, is_accept = 1
n = 298, r = 0.877708, dH = 0.130441, is_accept = 1
n = 299, r = 0.199091, dH = 1.61399, is_accept = 0
n = 300, r = 0.443813, dH = 0.812351, is_accept = 1
n = 301, r = 1, dH = -0.338167, is_accept = 1
n = 302, r = 0.26639, dH = 1.32279, is_accept = 1
n = 303, r = 1, dH = -0.213088, is_accept = 1
n = 304, r = 0.0210647, dH = 3.86016, is_accept = 0
n = 305, r = 1, dH = -0.11549, is_accept = 1
n = 306, r = 0.704099, dH = 0.350836, is_accept = 1
n = 307, r = 1, dH = -0.233687, is_accept = 1
n = 308, r = 0.478453, dH = 0.737198, is_accept = 0
n = 309, r = 0.652363, dH = 0.427155, is_accept = 1
n = 310, r = 1, dH = -0.258008, is_accept = 1
n = 311, r = 0.85777, dH = 0.153419, is_accept = 1
n = 312, r = 1, dH = -0.0818249, is_accept = 1
n = 313, r = 1, dH = -0.54198, is_accept = 1
n = 314, r = 0.0956942, dH = 2.3466, is_accept = 0
n = 315, r = 0.914749, dH = 0.0891055, is_accept = 1
n = 316, r = 1, dH = -0.0423903, is_accept = 1
n = 317, r = 0.974347, dH = 0.0259874, is_accept = 1
n = 318, r = 0.765891, dH = 0.266715, is_accept = 0
n = 319, r = 0.575736, dH = 0.552106, is_accept = 1
n = 320, r = 1, dH = -0.179649, is_accept = 1
n = 321, r = 0.888753, dH = 0.117936, is_accept = 0
n = 322, r = 0.7084, dH = 0.344746, is_accept = 0
n = 323, r = 1, dH = -0.0211544, is_accept = 1
n = 324, r = 1, dH = -0.111515, is_accept = 1
n = 325, r = 0.956076, dH = 0.0449179, is_accept = 1
n = 326, r = 1, dH = -0.0897141, is_accept = 1
n = 327, r = 0.747835, dH = 0.290574, is_accept = 1
n = 328, r = 0.957719, dH = 0.0432011, is_accept = 1
n = 329, r = 0.835945, dH = 0.179192, is_accept = 1
n = 330, r = 1, dH = -3.146, is_accept = 1
n = 331, r = 0.910443, dH = 0.0938235, is_accept = 1
n = 332, r = 0.0617511, dH = 2.78464, is_accept = 0
n = 333, r = 2.78009e-05, dH = 10.4904, is_accept = 0
n = 334, r = 0.918425, dH = 0.0850948, is_accept = 1
n = 335, r = 1, dH = -0.190291, is_accept = 1
n = 336, r = 0.604733, dH = 0.502968, is_accept = 0
n = 337, r = 0.914299, dH = 0.0895971, is_accept = 1
n = 338, r = 0.00995802, dH = 4.60938, is_accept = 0
n = 339, r = 0.387073, dH = 0.949141, is_accept = 0
n = 340, r = 0.950646, dH = 0.0506133, is_accept = 0
n = 341, r = 1, dH = -0.117848, is_accept = 1
n = 342, r = 1, dH = -0.285564, is_accept = 1
