openmp threads = 1
eigen threads = 1
seed = 5105
exact = 1.197714742754041e+00
n = 355, r = 0.612849, dH = 0.489637, is_accept = 0
n = 356, r = 0.928153, dH = 0.074559, is_accept = 1
n = 357, r = 1, dH = -0.35683, is_accept = 1
n = 358, r = 0.672612, dH = 0.396587, is_accept = 1
n = 359, r = 0.964461, dH = 0.0361857, is_accept = 1
n = 360, r = 0.0713178, dH = 2.64061, is_accept = 0
n = 361, r = 0.797229, dH = 0.226613, is_accept = 1
n = 362, r = 1, dH = -0.0979114, is_accept = 1
n = 363, r = 0.64296, dH = 0.441673, is_accept = 1
n = 364, r = 1, dH = -0.0914611, is_accept = 1
n = 365, r = 0.9588, dH = 0.0420729, is_accept = 1
n = 366, r = 0.90697, dH = 0.0976457, is_accept = 1
n = 367, r = 1, dH = -0.353376, is_accept = 1
n = 368, r = 0.872944, dH = 0.135884, is_accept = 1
n = 369, r = 0.613194, dH = 0.489074, is_accept = 1
n = 370, r = 0.72082, dH = 0.327365, is_accept = 1
n = 371, r = 0.80993, dH = 0.210808, is_accept = 1
n = 372, r = 0.878743, dH = 0.129263, is_accept = 1
n = 373, r = 1, dH = -0.184865, is_accept = 1
n = 374, r = 0.966168, dH = 0.0344172, is_accept = 1
n = 375, r = 0.598292, dH = 0.513677, is_accept = 1
n = 376, r = 1, dH = -0.462719, is_accept = 1
n = 377, r = 0.556562, dH = 0.585976, is_accept = 0
n = 378, r = 1, dH = -0.107766, is_accept = 1
n = 379, r = 0.878556, dH = 0.129475, is_accept = 1
n = 380, r = 0.950771, dH = 0.050482, is_accept = 1
n = 381, r = 0.911833, dH = 0.092298, is_accept = 1
n = 382, r = 0.601188, dH = 0.508847, is_accept = 1
n = 383, r = 0.827326, dH = 0.189557, is_accept = 1
n = 384, r = 0.232943, dH = 1.45696, is_accept = 0
n = 385, r = 0.210704, dH = 1.5573, is_accept = 0
n = 386, r = 1, dH = -0.0681654, is_accept = 1
n = 387, r = 0.218187, dH = 1.5224, is_accept = 0
n = 388, r = 0.639453, dH = 0.447142, is_accept = 1
n = 389, r = 1, dH = -0.925983, is_accept = 1
n = 390, r = 0.949087, dH = 0.0522546, is_accept = 1
n = 391, r = 0.983183, dH = 0.0169605, is_accept = 1
n = 392, r = 1, dH = -0.0723049, is_accept = 1
n = 393, r = 0.898886, dH = 0.106599, is_accept = 1
n = 394, r = 1, dH = -0.708286, is_accept = 1
n = 395, r = 0.904664, dH = 0.100191, is_accept = 1
n = 396, r = 1, dH = -0.187606, is_accept = 1
n = 397, r = 1, dH = -0.101718, is_accept = 1
