openmp threads = 1
eigen threads = 1
seed = 30151
exact = 1.101960441795678e+00
n = 449, r = 0.875052, dH = 0.133472, is_accept = 1
n = 450, r = 1, dH = -1.1487, is_accept = 1
n = 451, r = 1, dH = -0.120965, is_accept = 1
n = 452, r = 0.818788, dH = 0.19993, is_accept = 1
n = 453, r = 0.954756, dH = 0.0462999, is_accept = 1
n = 454, r = 1, dH = -0.337781, is_accept = 1
n = 455, r = 1, dH = -0.306293, is_accept = 1
n = 456, r = 1, dH = -0.0296285, is_accept = 1
n = 457, r = 0.973953, dH = 0.0263922, is_accept = 1
n = 458, r = 1, dH = -0.0506175, is_accept = 1
n = 459, r = 1, dH = -0.352318, is_accept = 1
n = 460, r = 1, dH = -0.0903329, is_accept = 1
n = 461, r = 1, dH = -0.324018, is_accept = 1
n = 462, r = 0.252508, dH = 1.37631, is_accept = 0
n = 463, r = 0.389348, dH = 0.943282, is_accept = 0
n = 464, r = 0.252591, dH = 1.37598, is_accept = 0
n = 465, r = 0.772931, dH = 0.257565, is_accept = 0
n = 466, r = 0.878429, dH = 0.12962, is_accept = 1
n = 467, r = 0.691488, dH = 0.36891, is_accept = 1
n = 468, r = 1, dH = -0.585371, is_accept = 1
n = 469, r = 0.836908, dH = 0.178041, is_accept = 1
n = 470, r = 1, dH = -0.276861, is_accept = 1
n = 471, r = 1, dH = -0.155248, is_accept = 1
n = 472, r = 0.774266, dH = 0.25584, is_accept = 0
n = 473, r = 0.851597, dH = 0.160642, is_accept = 1
n = 474, r = 0.878894, dH = 0.129091, is_accept = 1
