openmp threads = 1
eigen threads = 1
seed = 97
exact = 1.216718433734802e+00
n = 208, r = 1, dH = -0.211318, is_accept = 1
n = 209, r = 0.931587, dH = 0.0708652, is_accept = 1
n = 210, r = 1.50676e-09, dH = 20.3133, is_accept = 0
n = 211, r = 0.882817, dH = 0.124638, is_accept = 1
n = 212, r = 0.387182, dH = 0.948861, is_accept = 1
n = 213, r = 1, dH = -0.223157, is_accept = 1
n = 214, r = 1, dH = -0.448515, is_accept = 1
n = 215, r = 0.906458, dH = 0.0982107, is_accept = 1
n = 216, r = 1, dH = -0.369161, is_accept = 1
n = 217, r = 0.991065, dH = 0.00897539, is_accept = 1
n = 218, r = 0.899603, dH = 0.105802, is_accept = 1
n = 219, r = 0.872822, dH = 0.136024, is_accept = 1
n = 220, r = 0.605848, dH = 0.501126, is_accept = 0
n = 221, r = 0.638002, dH = 0.449414, is_accept = 1
n = 222, r = 0.181539, dH = 1.70628, is_accept = 1
n = 223, r = 0.816865, dH = 0.202282, is_accept = 1
n = 224, r = 1, dH = -0.061854, is_accept = 1
n = 225, r = 0.223565, dH = 1.49805, is_accept = 0
n = 226, r = 0.972259, dH = 0.0281333, is_accept = 1
n = 227, r = 1, dH = -0.387148, is_accept = 1
n = 228, r = 0.5369, dH = 0.621944, is_accept = 1
n = 229, r = 0.972135, dH = 0.0282603, is_accept = 1
n = 230, r = 1, dH = -0.139783, is_accept = 1
n = 231, r = 0.794649, dH = 0.229855, is_accept = 1
n = 232, r = 0.0174241, dH = 4.0499, is_accept = 0
n = 233, r = 0.505691, dH = 0.68183, is_accept = 1
n = 234, r = 1, dH = -0.295795, is_accept = 1
n = 235, r = 1, dH = -0.336621, is_accept = 1
n = 236, r = 0.76397, dH = 0.269227, is_accept = 1
n = 237, r = 1, dH = -0.021462, is_accept = 1
n = 238, r = 1, dH = -0.147973, is_accept = 1
n = 239, r = 0.786029, dH = 0.240762, is_accept = 1
n = 240, r = 0.970533, dH = 0.0299094, is_accept = 1
n = 241, r = 0.625144, dH = 0.469774, is_accept = 0
n = 242, r = 0.809799, dH = 0.210969, is_accept = 0
n = 243, r = 1, dH = -0.0987165, is_accept = 1
n = 244, r = 0.979203, dH = 0.0210163, is_accept = 1
n = 245, r = 1, dH = -0.174631, is_accept = 1
n = 246, r = 0.826601, dH = 0.190433, is_accept = 1
n = 247, r = 1, dH = -0.204533, is_accept = 1
n = 248, r = 1, dH = -0.154033, is_accept = 1
n = 249, r = 0.721866, dH = 0.325915, is_accept = 1
n = 250, r = 1, dH = -0.253435, is_accept = 1
n = 251, r = 0.930061, dH = 0.0725049, is_accept = 1
n = 252, r = 1, dH = -0.178669, is_accept = 1
n = 253, r = 1, dH = -0.20308, is_accept = 1
n = 254, r = 0.968509, dH = 0.0319978, is_accept = 1
n = 255, r = 0.785987, dH = 0.240815, is_accept = 1
