openmp threads = 1
eigen threads = 1
seed = 5703
exact = 5.457221248129214e-01
n = 288, r = 0.947028, dH = 0.0544267, is_accept = 0
n = 289, r = 0.2398, dH = 1.42795, is_accept = 0
n = 290, r = 0.0555284, dH = 2.89086, is_accept = 0
n = 291, r = 0.962044, dH = 0.0386953, is_accept = 1
n = 292, r = 0.870262, dH = 0.138961, is_accept = 1
n = 293, r = 0.0792964, dH = 2.53456, is_accept = 0
n = 294, r = 0.31598, dH = 1.15208, is_accept = 1
n = 295, r = 1, dH = -0.164334, is_accept = 1
n = 296, r = 0.66121, dH = 0.413683, is_accept = 0
n = 297, r = 0.622876, dH = 0.473408, is_accept = 1
n = 298, r = 0.000190445, dH = 8.56615, is_accept = 0
n = 299, r = 1, dH = -0.261465, is_accept = 1
n = 300, r = 1, dH = -0.00011908, is_accept = 1
n = 301, r = 0.731801, dH = 0.312247, is_accept = 1
n = 302, r = 1, dH = -0.187631, is_accept = 1
n = 303, r = 0.681659, dH = 0.383226, is_accept = 0
n = 304, r = 0.503969, dH = 0.68524, is_accept = 0
n = 305, r = 1, dH = -0.0593383, is_accept = 1
n = 306, r = 0.860603, dH = 0.150122, is_accept = 1
n = 307, r = 0.447925, dH = 0.80313, is_accept = 1
n = 308, r = 0.315729, dH = 1.15287, is_accept = 1
n = 309, r = 1, dH = -0.0271165, is_accept = 1
n = 310, r = 0.757847, dH = 0.277273, is_accept = 1
n = 311, r = 1, dH = -0.273408, is_accept = 1
n = 312, r = 0.598898, dH = 0.512663, is_accept = 1
n = 313, r = 1, dH = -0.0814966, is_accept = 1
n = 314, r = 1, dH = -0.539536, is_accept = 1
n = 315, r = 1, dH = -0.278947, is_accept = 1
n = 316, r = 1, dH = -0.0289983, is_accept = 1
n = 317, r = 0.976114, dH = 0.024176, is_accept = 1
n = 318, r = 0.893158, dH = 0.112992, is_accept = 1
n = 319, r = 0.501694, dH = 0.689765, is_accept = 0
n = 320, r = 0.95184, dH = 0.0493586, is_accept = 1
n = 321, r = 1, dH = -0.153616, is_accept = 1
n = 322, r = 0.735436, dH = 0.307292, is_accept = 0
n = 323, r = 0.871425, dH = 0.137626, is_accept = 0
n = 324, r = 1, dH = -0.01871, is_accept = 1
n = 325, r = 0.147232, dH = 1.91575, is_accept = 1
n = 326, r = 1, dH = -0.313043, is_accept = 1
n = 327, r = 1, dH = -0.0305479, is_accept = 1
n = 328, r = 0.597787, dH = 0.514521, is_accept = 0
n = 329, r = 0.699813, dH = 0.356942, is_accept = 0
n = 330, r = 0.692463, dH = 0.3675, is_accept = 1
n = 331, r = 1, dH = -0.668042, is_accept = 1
n = 332, r = 0.722187, dH = 0.325471, is_accept = 1
n = 333, r = 1, dH = -0.261053, is_accept = 1
n = 334, r = 0.68215, dH = 0.382506, is_accept = 1
n = 335, r = 1, dH = -0.0343708, is_accept = 1
n = 336, r = 0.771646, dH = 0.259229, is_accept = 0
n = 337, r = 1, dH = -0.0295622, is_accept = 1
n = 338, r = 4.9094e-05, dH = 9.92177, is_accept = 0
n = 339, r = 0.933896, dH = 0.0683897, is_accept = 1
n = 340, r = 1, dH = -0.0923226, is_accept = 1
n = 341, r = 0.848599, dH = 0.164169, is_accept = 1
n = 342, r = 0.87247, dH = 0.136427, is_accept = 0
n = 343, r = 0.937476, dH = 0.0645639, is_accept = 1
n = 344, r = 1, dH = -0.119074, is_accept = 1
n = 345, r = 0.132291, dH = 2.02275, is_accept = 0
n = 346, r = 1, dH = -0.0186816, is_accept = 1
n = 347, r = 0.721877, dH = 0.325901, is_accept = 0
n = 348, r = 0.775421, dH = 0.254349, is_accept = 0
n = 349, r = 1, dH = -0.0825521, is_accept = 1
n = 350, r = 0.991348, dH = 0.00868989, is_accept = 1
n = 351, r = 0.788173, dH = 0.238038, is_accept = 1
n = 352, r = 0.350857, dH = 1.04738, is_accept = 0
n = 353, r = 0.928667, dH = 0.0740051, is_accept = 1
n = 354, r = 0.944799, dH = 0.0567828, is_accept = 1
n = 355, r = 1, dH = -0.104036, is_accept = 1
n = 356, r = 1, dH = -0.000711937, is_accept = 1
n = 357, r = 0.776309, dH = 0.253204, is_accept = 1
n = 358, r = 1, dH = -0.0603555, is_accept = 1
n = 359, r = 1, dH = -0.395319, is_accept = 1
n = 360, r = 1, dH = -0.00379482, is_accept = 1
