openmp threads = 1
eigen threads = 1
seed = 11239
exact = 1.000843767765202e+00
n = 383, r = 0.00129375, dH = 6.65021, is_accept = 0
n = 384, r = 0.43088, dH = 0.841925, is_accept = 1
n = 385, r = 1.96327e-06, dH = 13.1409, is_accept = 0
n = 386, r = 0.942597, dH = 0.0591167, is_accept = 1
n = 387, r = 0.736267, dH = 0.306162, is_accept = 1
n = 388, r = 1, dH = -0.265495, is_accept = 1
n = 389, r = 0.981668, dH = 0.0185024, is_accept = 1
n = 390, r = 0.137424, dH = 1.98469, is_accept = 0
n = 391, r = 0.79938, dH = 0.223919, is_accept = 1
n = 392, r = 1, dH = -0.0128495, is_accept = 1
n = 393, r = 0.790675, dH = 0.234868, is_accept = 1
n = 394, r = 0.850526, dH = 0.1619, is_accept = 1
n = 395, r = 0.806383, dH = 0.215196, is_accept = 0
n = 396, r = 1, dH = -0.0137212, is_accept = 1
n = 397, r = 0.495583, dH = 0.702019, is_accept = 1
n = 398, r = 1, dH = -0.00591987, is_accept = 1
n = 399, r = 0.0074774, dH = 4.89587, is_accept = 0
n = 400, r = 0.616962, dH = 0.482948, is_accept = 0
n = 401, r = 1, dH = -0.494399, is_accept = 1
n = 402, r = 0.843046, dH = 0.170734, is_accept = 1
n = 403, r = 1, dH = -0.149276, is_accept = 1
n = 404, r = 1, dH = -0.0648833, is_accept = 1
n = 405, r = 1, dH = -0.156147, is_accept = 1
n = 406, r = 0.452729, dH = 0.792461, is_accept = 1
n = 407, r = 1, dH = -0.215932, is_accept = 1
n = 408, r = 0.312027, dH = 1.16467, is_accept = 1
n = 409, r = 0.134221, dH = 2.00826, is_accept = 0
n = 410, r = 0.820724, dH = 0.197568, is_accept = 0
n = 411, r = 1, dH = -0.340824, is_accept = 1
n = 412, r = 1, dH = -0.294768, is_accept = 1
n = 413, r = 1, dH = -0.0918896, is_accept = 1
n = 414, r = 0.576154, dH = 0.55138, is_accept = 0
n = 415, r = 0.764599, dH = 0.268404, is_accept = 1
n = 416, r = 1, dH = -0.233854, is_accept = 1
n = 417, r = 0.933714, dH = 0.0685855, is_accept = 1
n = 418, r = 0.183349, dH = 1.69636, is_accept = 0
n = 419, r = 0.724067, dH = 0.322872, is_accept = 1
n = 420, r = 0.965718, dH = 0.0348831, is_accept = 1
n = 421, r = 1, dH = -0.226241, is_accept = 1
n = 422, r = 0.616289, dH = 0.48404, is_accept = 0
n = 423, r = 0.858069, dH = 0.153071, is_accept = 1
n = 424, r = 1, dH = -0.0585737, is_accept = 1
n = 425, r = 0.834587, dH = 0.180819, is_accept = 1
n = 426, r = 0.820764, dH = 0.19752, is_accept = 1
